Name,Latitude,Longitude,Number of Free Bikes,Rest/Bar Rating(FS),Average Distance_Bar_x,Average Distance_Gym_x,Rest/Bar Rating(YELP),Average Distance_Bar_y,Average Distance_Gym_y
Parc Anet-Gomin,46.786588174519565,-71.25823142456434,5,"0    8.1
1    NaN
2    8.5
3    7.0
4    7.7
5    NaN
6    8.2
7    8.1
8    7.8
9    NaN
Name: rating, dtype: float64",711.3,777.125,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.0
5     4.0
6     4.5
7     4.5
8     4.5
9     3.5
10    3.5
11    3.0
12    3.5
13    3.5
14    4.0
15    5.0
16    4.5
17    3.5
18    3.5
19    4.0
Name: rating, dtype: float64",877.11726034077,0.0
Sheppard / William,46.784040811002114,-71.24939086365126,4,"0    7.8
1    8.5
2    6.6
3    7.7
4    7.0
5    8.5
6    7.6
7    6.8
8    6.7
9    6.8
Name: rating, dtype: float64",355.2,142.0,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.0
5     4.5
6     4.5
7     5.0
8     5.0
9     3.5
10    3.5
11    3.5
12    4.0
13    3.5
14    5.0
15    2.5
16    3.5
17    4.0
18    4.0
19    3.5
Name: rating, dtype: float64",334.6887038189146,0.0
ExpoCité - Grand Marché,46.8294326924675,-71.24406570853023,4,"0    8.1
1    NaN
2    NaN
3    NaN
4    6.0
5    NaN
6    7.0
7    NaN
8    NaN
9    NaN
Name: rating, dtype: float64",302.2,701.8571428571429,"0     5.0
1     4.5
2     5.0
3     5.0
4     4.0
5     4.5
6     4.0
7     3.0
8     5.0
9     5.0
10    2.0
11    5.0
12    3.5
13    4.0
14    3.5
15    4.5
16    3.0
17    2.0
18    5.0
19    4.0
Name: rating, dtype: float64",775.248807597766,960.4405522184234
Lavigueur / Sainte-Geneviève,46.81240304152266,-71.22041093634985,7,"0    9.1
1    8.6
2    8.5
3    8.9
4    9.0
5    8.8
6    8.8
7    9.0
8    8.8
9    8.4
Name: rating, dtype: float64",376.9,568.8,"0     4.0
1     4.5
2     5.0
3     4.0
4     4.5
5     4.5
6     4.5
7     4.0
8     4.0
9     4.0
10    4.5
11    4.5
12    4.0
13    4.5
14    4.5
15    4.5
16    5.0
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",526.0953035230316,596.6843599357068
ExpoCité - Place Jean-Béliveau,46.826552659765404,-71.24597805079398,4,"0    8.1
1    9.1
2    NaN
3    NaN
4    NaN
5    NaN
6    NaN
7    6.5
8    6.5
9    NaN
Name: rating, dtype: float64",395.1,608.5,"0     5.0
1     5.0
2     4.5
3     4.0
4     5.0
5     4.5
6     3.5
7     3.5
8     5.0
9     2.0
10    5.0
11    3.0
12    4.5
13    5.0
14    2.0
15    4.0
16    4.0
17    3.0
18    4.0
Name: rating, dtype: float64",772.1520877859537,0.0
ULaval - Ferdinand-Vandry,46.77853060014388,-71.27677889990233,12,"0    8.1
1    8.5
2    7.8
3    NaN
4    NaN
5    8.4
6    NaN
7    7.6
8    8.6
9    8.5
Name: rating, dtype: float64",668.5,822.125,"0     4.0
1     4.0
2     5.0
3     4.0
4     3.5
5     3.5
6     3.5
7     4.0
8     3.0
9     3.0
10    4.0
11    4.0
12    4.0
13    3.5
14    5.0
15    4.5
16    4.0
17    3.5
18    5.0
19    3.0
Name: rating, dtype: float64",918.28704299859,872.2428345154256
Cégep de Sainte-Foy,46.786167,-71.285878,8,"0    8.2
1    8.4
2    8.1
3    8.6
4    7.4
5    7.7
6    7.1
7    7.6
8    8.0
9    NaN
Name: rating, dtype: float64",359.6,389.2,"0     5.0
1     3.5
2     3.0
3     4.0
4     4.0
5     4.0
6     3.5
7     5.0
8     5.0
9     4.0
10    3.5
11    2.5
12    3.5
13    5.0
14    4.5
15    4.5
16    3.0
17    4.0
18    2.5
19    3.5
Name: rating, dtype: float64",370.9730483069712,464.4681120778433
Pente-Douce / Montmagny,46.804262124158974,-71.23915287184141,8,"0    7.7
1    7.8
2    7.9
3    5.7
4    8.1
5    6.1
6    7.4
7    8.0
8    6.9
9    6.6
Name: rating, dtype: float64",440.7,581.1,"0     4.5
1     4.5
2     4.5
3     5.0
4     4.5
5     4.5
6     4.5
7     4.5
8     4.5
9     4.0
10    4.0
11    4.0
12    4.5
13    4.5
14    4.5
15    5.0
16    4.5
17    4.5
18    4.0
19    4.5
Name: rating, dtype: float64",981.863359958014,0.0
La Cité Verte,46.79674647001209,-71.25180753397368,5,"0    7.3
1    8.2
2    8.1
3    6.9
4    6.4
5    6.9
6    6.4
7    6.8
8    NaN
9    NaN
Name: rating, dtype: float64",390.8,578.2,"0     4.5
1     3.5
2     5.0
3     4.5
4     4.0
5     5.0
6     2.5
7     4.0
8     4.0
9     2.5
10    1.0
11    2.5
Name: rating, dtype: float64",540.7218572382866,0.0
Parc Saint-Charles-Garnier,46.78608679238198,-71.25134619402311,7,"0    7.8
1    6.6
2    8.5
3    8.8
4    7.0
5    7.7
6    NaN
7    NaN
8    6.7
9    8.5
Name: rating, dtype: float64",502.1,0.0,"0     4.5
1     4.5
2     4.5
3     4.5
4     4.0
5     4.0
6     4.5
7     5.0
8     4.5
9     5.0
10    3.5
11    3.5
12    3.5
13    3.5
14    4.0
15    3.5
16    4.5
17    2.5
18    4.0
19    3.5
Name: rating, dtype: float64",573.0285467676963,0.0
Musée national des beaux-arts,46.8014574117429,-71.22620529593462,7,"0    8.9
1    8.4
2    8.2
3    8.3
4    8.6
5    9.0
6    8.3
7    9.3
8    8.5
9    9.0
Name: rating, dtype: float64",382.0,542.4,"0     4.5
1     5.0
2     4.5
3     4.0
4     4.5
5     4.5
6     4.5
7     4.0
8     4.5
9     3.5
10    4.0
11    4.5
12    4.5
13    4.0
14    5.0
15    3.5
16    4.5
17    4.5
18    4.0
19    4.5
Name: rating, dtype: float64",547.5746284098279,0.0
Parc de l'Esplanade,46.81083682977029,-71.21174416734335,3,"0    8.7
1    9.2
2    9.0
3    9.0
4    8.7
5    8.3
6    8.8
7    8.2
8    8.8
9    8.8
Name: rating, dtype: float64",215.9,541.4,"0     4.0
1     4.5
2     4.0
3     4.0
4     4.5
5     4.5
6     4.5
7     4.0
8     4.0
9     4.0
10    4.5
11    5.0
12    4.5
13    4.0
14    4.5
15    4.0
16    4.0
17    4.0
18    4.5
19    4.0
Name: rating, dtype: float64",394.3161960337462,749.2945621323925
Père-Marquette / Belvédère,46.7984764758592,-71.2399580535144,9,"0    7.9
1    6.2
2    NaN
3    NaN
4    NaN
5    6.9
6    NaN
7    7.7
8    NaN
9    NaN
Name: rating, dtype: float64",366.8,496.8,"0     5.0
1     4.0
2     4.5
3     4.5
4     4.5
5     4.5
6     3.5
7     4.5
8     3.5
9     5.0
10    3.0
11    3.5
12    5.0
13    5.0
14    3.5
15    4.0
16    5.0
17    2.0
18    4.0
19    2.5
Name: rating, dtype: float64",970.2394769715244,0.0
Château Frontenac,46.8113080501692,-71.20505394863508,7,"0    9.3
1    8.8
2    8.9
3    8.8
4    8.8
5    8.8
6    9.1
7    9.0
8    8.0
9    8.4
Name: rating, dtype: float64",202.2,751.4285714285714,"0     4.0
1     4.5
2     4.5
3     4.5
4     4.0
5     4.0
6     4.0
7     4.0
8     4.5
9     4.0
10    4.0
11    4.0
12    4.0
13    4.5
14    4.0
15    4.5
16    4.0
17    4.5
18    3.5
19    4.5
Name: rating, dtype: float64",248.4267748457756,1044.0006213464032
Parc Montmorency,46.81387999185184,-71.20484575502414,6,"0    9.1
1    8.8
2    8.9
3    8.8
4    9.0
5    8.2
6    9.3
7    8.8
8    8.4
9    8.3
Name: rating, dtype: float64",168.9,753.0,"0     4.0
1     4.5
2     4.5
3     4.5
4     4.0
5     4.5
6     4.0
7     4.0
8     4.0
9     4.0
10    4.0
11    4.5
12    4.0
13    3.5
14    4.5
15    4.5
16    4.0
17    4.0
18    5.0
19    4.5
Name: rating, dtype: float64",235.53761569449884,918.7108176199554
Place des Canotiers,46.81490294468334,-71.20134408792657,10,"0    8.6
1    8.0
2    8.6
3    8.3
4    9.0
5    8.7
6    8.5
7    8.5
8    9.1
9    8.8
Name: rating, dtype: float64",199.5,562.0,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.0
5     4.0
6     4.5
7     4.0
8     4.0
9     5.0
10    4.5
11    4.5
12    4.5
13    4.0
14    4.5
15    4.5
16    4.0
17    4.0
18    4.5
19    3.5
Name: rating, dtype: float64",365.92203244607583,0.0
Cégep Limoilou,46.829355,-71.229428,12,"0    9.0
1    8.6
2    8.7
3    8.2
4    7.7
5    6.7
6    8.6
7    9.1
8    8.1
9    NaN
Name: rating, dtype: float64",391.7,657.2,"0     4.5
1     4.5
2     4.0
3     5.0
4     4.0
5     4.5
6     5.0
7     4.5
8     3.5
9     4.0
10    5.0
11    4.0
12    3.5
13    4.5
14    4.0
15    5.0
16    5.0
17    5.0
18    4.0
19    5.0
Name: rating, dtype: float64",523.4898528304768,0.0
Gare du Palais,46.81748363513417,-71.21286931253941,7,"0    8.9
1    9.2
2    7.9
3    9.1
4    8.5
5    NaN
6    6.2
7    NaN
8    8.9
9    NaN
Name: rating, dtype: float64",160.0,573.8,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.5
5     5.0
6     4.5
7     4.0
8     4.5
9     5.0
10    4.5
11    4.0
12    4.5
13    4.0
14    4.0
15    4.0
16    4.5
17    4.5
18    4.0
19    4.0
Name: rating, dtype: float64",578.2406468036656,254.2788828099755
3e Avenue / 7e Rue,46.82472635206527,-71.22830601858517,13,"0    9.1
1    8.1
2    8.7
3    9.0
4    8.2
5    8.2
6    7.7
7    8.6
8    8.6
9    6.7
Name: rating, dtype: float64",320.3,748.6666666666666,"0     4.5
1     4.5
2     4.5
3     4.0
4     4.5
5     4.0
6     4.0
7     4.0
8     3.5
9     5.0
10    4.0
11    2.5
12    3.5
13    4.5
14    4.5
15    3.5
16    4.0
17    3.0
18    5.0
19    4.5
Name: rating, dtype: float64",374.7904269149964,1274.4545685938467
Traverse,46.812146312979735,-71.20227632353003,3,"0    8.8
1    9.0
2    8.8
3    9.3
4    8.9
5    9.1
6    8.8
7    8.6
8    8.0
9    8.8
Name: rating, dtype: float64",230.2,711.3333333333334,"0     4.5
1     4.0
2     4.5
3     4.0
4     4.0
5     4.5
6     4.0
7     4.0
8     4.0
9     4.0
10    4.5
11    4.5
12    4.5
13    5.0
14    4.5
15    4.5
16    4.0
17    4.5
18    4.0
19    3.5
Name: rating, dtype: float64",278.63953465922066,0.0
Place D’Youville,46.81230646289787,-71.21437238651318,5,"0    8.8
1    9.0
2    8.2
3    8.7
4    8.7
5    9.0
6    8.3
7    9.2
8    8.0
9    8.8
Name: rating, dtype: float64",250.3,482.9,"0     4.0
1     4.0
2     4.5
3     4.0
4     4.5
5     4.0
6     4.5
7     5.0
8     4.5
9     4.5
10    4.0
11    4.5
12    4.0
13    4.0
14    4.5
15    4.0
16    3.5
17    4.5
18    4.5
19    4.0
Name: rating, dtype: float64",424.4442608143792,525.404587006228
De la Trinité / De Villebon,46.83404404888957,-71.22124108003996,5,"0    7.1
1    NaN
2    8.3
3    8.6
4    7.2
5    NaN
6    NaN
7    NaN
8    6.7
9    NaN
Name: rating, dtype: float64",511.9,321.0,"0     4.5
1     4.5
2     4.0
3     4.0
4     4.5
5     3.5
6     4.0
7     4.0
8     3.5
9     3.0
10    5.0
11    5.0
12    5.0
13    2.0
14    3.0
15    5.0
16    2.0
17    2.5
18    3.5
19    3.0
Name: rating, dtype: float64",839.5950951456786,0.0
Cardinal-Rouleau / Raymond-Casgrain,46.79757149554302,-71.24463530706785,8,"0    7.9
1    6.9
2    NaN
3    7.1
4    6.2
5    6.2
6    NaN
7    7.3
8    7.7
9    8.2
Name: rating, dtype: float64",575.2,645.9,"0     5.0
1     4.5
2     3.5
3     4.5
4     5.0
5     4.0
6     4.0
7     2.0
8     2.5
9     2.5
10    2.5
11    1.0
Name: rating, dtype: float64",800.4170883875795,0.0
13e Rue / 1ère Avenue,46.82711487394143,-71.23470697516585,2,"0    8.6
1    9.0
2    8.7
3    8.2
4    7.7
5    9.1
6    8.1
7    8.6
8    NaN
9    8.2
Name: rating, dtype: float64",503.0,696.0,"0     4.5
1     4.5
2     5.0
3     4.0
4     5.0
5     4.0
6     4.5
7     4.5
8     5.0
9     4.5
10    4.0
11    5.0
12    4.5
13    4.0
14    3.5
15    3.5
16    5.0
17    4.0
18    5.0
19    5.0
Name: rating, dtype: float64",412.667577314635,0.0
De Prével / Quatre-Bourgeois,46.78425018789264,-71.28444465326689,13,"0    8.6
1    8.2
2    7.7
3    8.4
4    8.1
5    7.4
6    7.1
7    8.0
8    7.6
9    NaN
Name: rating, dtype: float64",377.0,434.9,"0     5.0
1     3.0
2     3.5
3     4.0
4     4.0
5     4.0
6     5.0
7     2.5
8     3.5
9     3.0
10    5.0
11    5.0
12    4.0
13    4.5
14    4.5
15    3.5
16    3.5
17    4.0
18    2.5
19    3.5
Name: rating, dtype: float64",336.9424945679572,396.0810479728354
Hôpital de l'Enfant-Jésus,46.83822969588059,-71.22451224173356,11,"0    7.1
1    7.2
2    NaN
3    NaN
4    5.8
5    NaN
6    8.3
7    NaN
8    NaN
9    NaN
Name: rating, dtype: float64",385.0,728.6666666666666,"0     4.5
1     4.0
2     3.5
3     4.0
4     5.0
5     2.5
6     5.0
7     2.0
8     5.0
9     2.0
10    4.0
11    3.0
12    3.5
13    3.5
14    2.0
15    3.0
Name: rating, dtype: float64",777.381020984913,0.0
Patro Roc-Amadour,46.833607,-71.242095,10,"0    7.0
1    NaN
2    6.0
3    6.3
4    NaN
5    8.1
6    NaN
7    7.7
8    NaN
9    NaN
Name: rating, dtype: float64",355.3,638.1666666666666,"0     4.5
1     4.5
2     4.5
3     5.0
4     4.0
5     5.0
6     4.0
7     5.0
8     3.5
9     4.5
10    2.0
11    1.0
12    3.0
13    4.0
14    5.0
15    5.0
16    4.0
17    4.0
18    4.0
19    2.0
Name: rating, dtype: float64",827.272372510662,538.7073020254884
Bourdon / 1ère Avenue,46.830463968878064,-71.23852523493193,7,"0    NaN
1    8.1
2    7.0
3    6.0
4    8.6
5    9.0
6    NaN
7    8.7
8    NaN
9    8.2
Name: rating, dtype: float64",539.4,592.8,"0     4.5
1     4.5
2     5.0
3     4.5
4     4.5
5     4.0
6     4.5
7     5.0
8     5.0
9     4.0
10    4.0
11    3.0
12    4.0
13    3.0
14    3.5
15    4.0
16    5.0
17    5.0
18    3.5
19    5.0
Name: rating, dtype: float64",639.785732232695,973.6701429227592
11e Rue / 3e Avenue,46.82705982745014,-71.23070659565352,13,"0    9.0
1    8.2
2    8.7
3    7.7
4    8.6
5    8.6
6    9.1
7    8.1
8    8.2
9    6.7
Name: rating, dtype: float64",297.6,657.6,"0     4.5
1     4.5
2     4.0
3     5.0
4     4.0
5     4.0
6     4.5
7     3.5
8     4.5
9     3.5
10    5.0
11    4.0
12    4.5
13    3.0
14    5.0
15    5.0
16    5.0
17    5.0
18    5.0
19    4.5
Name: rating, dtype: float64",296.86594643509386,0.0
7e Rue / 6e Avenue,46.82613489140135,-71.22456701921843,12,"0    8.6
1    9.1
2    8.1
3    8.7
4    9.0
5    8.2
6    8.2
7    7.7
8    8.6
9    6.7
Name: rating, dtype: float64",437.8,694.25,"0     4.5
1     4.5
2     4.0
3     4.5
4     4.5
5     4.0
6     4.0
7     3.5
8     4.0
9     4.0
10    5.0
11    5.0
12    3.5
13    3.5
14    2.5
15    4.0
16    4.5
17    3.0
18    5.0
19    5.0
Name: rating, dtype: float64",509.4376001342079,0.0
Myrand / Géronce-Gariépy,46.784158356023376,-71.26362534689329,9,"0    NaN
1    8.1
2    7.7
3    7.9
4    5.8
5    8.5
6    NaN
7    NaN
8    7.0
9    5.6
Name: rating, dtype: float64",622.0,459.0,"0     4.0
1     4.5
2     4.0
3     4.0
4     3.5
5     3.0
6     4.5
7     4.5
8     3.5
9     4.0
10    3.5
11    4.0
12    5.0
13    3.5
14    2.5
15    4.0
16    3.0
17    4.0
18    3.0
19    5.0
Name: rating, dtype: float64",862.1331528918063,0.0
3e Rue / 3e Avenue,46.822100909007546,-71.22555066618058,3,"0    8.2
1    9.1
2    8.1
3    8.7
4    9.0
5    8.6
6    8.2
7    7.7
8    8.9
9    8.6
Name: rating, dtype: float64",510.6,707.375,"0     4.5
1     4.0
2     4.5
3     4.0
4     4.5
5     5.0
6     4.5
7     4.0
8     4.5
9     4.0
10    4.5
11    4.0
12    4.5
13    3.5
14    4.0
15    4.5
16    4.0
17    4.0
18    4.5
19    4.0
Name: rating, dtype: float64",738.4155966994721,924.418940880144
De Callières / Marguerite-Bourgeoys,46.79135483991666,-71.25262917355235,6,"0    8.2
1    8.1
2    7.3
3    6.9
4    6.8
5    NaN
6    6.4
7    6.4
8    8.8
9    NaN
Name: rating, dtype: float64",408.2,649.4,"0     4.5
1     3.5
2     5.0
3     4.5
4     4.5
5     5.0
6     2.5
7     5.0
8     3.5
9     4.0
10    5.0
11    3.5
12    4.0
13    2.5
14    1.0
15    4.0
Name: rating, dtype: float64",629.8182361171415,0.0
De Callières / Ernest-Gagnon,46.79385586285797,-71.24822022667655,8,"0    NaN
1    7.3
2    8.2
3    8.1
4    8.8
5    6.9
6    NaN
7    NaN
8    NaN
9    6.4
Name: rating, dtype: float64",455.6,720.8,"0     4.5
1     5.0
2     3.5
3     4.5
4     5.0
5     4.0
6     3.5
7     4.0
8     2.5
9     4.0
10    1.0
11    2.5
Name: rating, dtype: float64",642.8204976885874,0.0
Maguire / Sheppard,46.78194791566562,-71.25260951446913,9,"0    7.0
1    8.5
2    6.7
3    7.7
4    6.6
5    6.8
6    6.8
7    8.5
8    7.6
9    NaN
Name: rating, dtype: float64",161.5,0.0,"0     4.5
1     4.5
2     4.0
3     4.0
4     4.5
5     4.5
6     3.5
7     2.5
8     4.0
9     3.5
10    4.5
11    5.0
12    3.0
13    3.5
14    4.0
15    5.0
16    3.5
17    5.0
18    2.5
19    3.5
Name: rating, dtype: float64",194.41769587177788,0.0
Parc du Bois-de-Coulonge,46.78924450706438,-71.2442994386663,6,"0    8.8
1    NaN
2    6.6
3    7.8
4    NaN
5    NaN
6    NaN
7    NaN
8    NaN
9    7.3
Name: rating, dtype: float64",498.7,727.6666666666666,"0     4.5
1     4.5
2     4.0
3     4.5
4     5.0
5     4.0
6     4.5
7     4.5
8     3.5
9     3.5
10    3.5
11    5.0
12    3.5
13    4.5
14    4.0
15    5.0
16    4.0
17    5.0
18    5.0
19    3.5
Name: rating, dtype: float64",888.7099023232346,0.0
